MESA,UNE,SEMILLA,NULOS,BLANCO
1573,18,63,20,3
1574,13,94,25,1
1575,6,118,18,0
1576,4,131,13,0
1577,7,150,13,0
1578,8,129,9,0
1579,10,116,11,0
1580,17,63,17,1
1581,9,110,14,1
1582,6,49,7,1
1583,8,34,6,0
1584,16,59,39,0
1585,16,65,36,0
1586,10,68,28,0
1587,11,68,28,1
1588,15,78,28,1
1589,13,76,26,1
1590,18,71,26,1
1591,12,74,30,1
1592,11,72,25,1
1593,16,63,14,0
1594,12,88,18,0
1595,8,142,10,0
1596,6,90,10,0
1597,5,76,13,0
1598,8,87,27,0
1599,15,66,41,0
1600,11,68,21,0
1601,16,55,34,0
1602,11,69,21,0
1603,21,82,40,0
1604,13,64,35,0
1605,11,71,33,0
1606,8,65,34,3
1607,15,65,36,3
1608,8,63,28,0
1609,8,59,23,2
1610,7,98,29,0
1611,14,81,19,0
1612,17,57,22,0
1613,15,76,28,1
1614,9,63,41,0
1615,8,60,44,2
1616,8,77,25,0
1617,13,93,21,1
1618,6,75,31,0
1619,11,74,21,2
1620,10,63,32,1
1621,10,79,27,1
1622,9,76,33,1
1623,20,91,25,--
1624,11,71,28,0
1625,7,79,34,1
1626,9,81,32,3
1627,10,68,34,0
1628,8,51,27,0
1629,13,57,37,2
1630,9,59,26,2
1631,12,62,24,2
1632,12,56,31,0
1633,10,61,35,151
1634,17,55,25,0
1635,12,67,21,2
1636,18,67,28,0
1637,14,51,30,1
1638,9,63,27,1
1639,12,67,27,0
1640,11,80,18,2
1641,8,95,19,1
1642,6,147,8,0
1643,2,151,14,132
1644,6,142,18,0
1645,9,77,26,0
1646,3,84,20,0
1647,5,51,7,0
1648,4,37,7,0
1649,17,72,34,--
1650,11,64,37,0
1651,17,57,35,1
1652,15,68,35,0
1653,12,75,28,0
1654,8,74,32,0
1655,18,60,32,1
1656,15,74,34,0
1657,10,101,24,0
1658,10,101,22,0
1659,16,63,34,0
1660,13,72,33,1
1661,6,80,27,0
1662,11,78,24,3
1663,16,78,29,1
1664,14,82,28,1
1665,6,70,35,1
1666,16,75,29,1
1667,12,72,35,1
1668,16,76,22,0
1669,16,62,40,0
1670,13,63,35,0
1671,11,85,29,0
1672,13,72,16,0
1673,10,69,32,1
1674,11,116,0,0
1675,5,129,22,1
1676,4,168,9,128
1677,6,116,15,207
1678,11,90,17,1
1679,7,103,14,--
1680,26,60,29,2
1681,26,54,40,2
1682,18,58,33,1
1683,19,59,28,1
1684,15,60,31,0
1685,23,54,25,2
1686,15,56,35,0
1687,21,39,36,0
1688,24,62,26,1
1689,8,86,17,1
1690,14,59,28,1
1691,18,57,39,3
1692,23,57,33,1
1693,16,65,23,1
1694,14,71,31,0
1695,16,63,27,2
1696,21,73,35,--
1697,21,57,37,0
1698,25,66,34,2
1699,22,73,22,1
1700,16,45,24,1
1701,16,60,32,3
1702,25,67,26,1
1703,18,56,22,0
1704,17,57,27,1
1705,14,88,20,2
1706,14,122,16,1
1707,4,144,12,1
1708,13,96,13,0
1709,9,74,14,0
1710,6,85,9,1
1711,11,52,7,0
1712,20,86,23,0
1713,8,79,35,2
1714,6,97,27,1
1715,15,66,33,2
1716,10,74,29,0
1717,4,115,13,0
1718,6,87,30,--
1719,11,107,26,0
1720,8,87,30,2
1721,8,89,35,1
1722,7,103,19,--
1723,10,91,38,1
1724,7,82,23,--
1725,4,100,20,0
1726,41,94,17,0
1727,8,88,27,0
1728,3,128,24,1
1729,0,187,15,0
1730,4,86,13,0
1731,2,110,11,--
1732,27,61,35,1
1733,31,51,33,2
1734,31,53,43,1
1735,26,50,39,2
1736,29,49,36,2
1737,25,63,29,1
1738,20,69,24,2
1739,21,53,34,4
1740,19,65,45,3
1741,13,62,37,4
1742,19,62,44,0
1743,18,40,36,1
1744,22,77,37,2
1745,25,63,37,1
1746,19,65,30,1
1747,7,127,21,0
1748,11,83,23,1
1749,18,98,28,0
1750,27,48,33,4
1751,14,67,33,0
1752,22,62,44,1
1753,19,68,25,0
1754,17,60,34,1
1755,19,68,29,0
1756,21,74,27,--
1757,22,55,39,3
1758,19,61,39,3
1759,18,66,15,2
1760,15,60,29,0
1761,31,69,24,1
1762,19,66,33,0
1763,22,68,30,0
1764,19,59,31,0
1765,22,70,27,2
1766,15,60,34,0
1767,21,54,42,1
1768,16,70,32,1
1769,21,50,35,2
1770,18,66,38,1
1771,23,65,30,2
1772,25,77,22,3
1773,16,64,27,0
1774,36,57,28,1
1775,11,69,23,4
1776,18,76,25,1
1777,16,102,2,0
1778,11,120,29,0
1779,25,75,26,2
1780,15,122,26,0
1781,5,137,17,0
1782,9,139,18,1
1783,10,128,11,--
1784,14,72,24,0
1785,12,87,25,3
1786,9,108,19,0
1787,7,83,24,0
1788,7,75,11,0
1789,36,52,28,6
1790,30,48,37,1
1791,33,43,39,2
1792,35,54,51,0
1793,34,58,38,1
1794,27,51,44,2
1795,19,52,34,0
1796,24,42,46,2
1797,22,49,62,1
1798,33,40,40,2
1799,27,55,32,4
1800,35,59,32,2
1801,22,42,35,2
1802,31,44,29,--
1803,35,45,39,0
1804,38,36,46,3
1805,35,41,30,6
1806,30,38,30,4
1807,38,54,30,0
1808,20,71,17,1
1809,13,92,18,0
1810,14,106,23,1
1811,7,93,20,0
1812,18,54,20,0
1813,16,53,16,240
1814,19,36,21,3
1815,29,27,31,1
1816,10,81,38,--
1817,19,20,27,1
1818,18,16,41,1
1819,22,25,33,0
1820,17,27,23,1
1863,8,41,18,0
1864,8,34,13,1
1865,4,32,14,2
1866,6,28,20,2
1867,8,28,11,1
1868,11,25,13,1
1869,11,32,14,0
1870,5,24,23,0
1871,5,27,13,0
1872,10,32,22,1
1873,7,32,15,0
1874,7,32,17,0
1875,14,28,18,0
1876,5,29,13,0
